age_days,weight_g
0.0,2312
12.18,2630
15.20,2660
17.26,2737
18.01,2743
18.13,2732
18.22,2757
18.26,2757
18.36,2756
19.13,2770
24.11,2830
25.05,2870
25.26,2820
26.07,2865
27.32,2847
27.68,2879
27.88,2871
28.09,2877
28.84,2877
29.05,2924
29.22,2919
29.97,2968
30.18,2977
30.51,2971
30.72,2987
30.88,3008
31.09,2996
31.32,3009
31.39,3042
31.49,3037
31.72,3032
32.09,3073
32.80,3089
33.05,3055
33.36,3064
33.86,3062
34.05,3082
34.09,3124
34.45,3074
34.82,3089
35.59,3085
35.97,3117
36.49,3163
36.51,3187
36.76,3157
37.18,3126
37.49,3147
38.34,3155
38.49,3127
38.74,3128
39.01,3161
39.11,3150
43.09,3312
43.28,3323
44.13,3384
44.86,3385
45.03,3321
45.19,3352
45.38,3364
45.45,3407
45.49,3445
45.53,3444
45.78,3375
46.20,3431
46.55,3434
46.93,3494
47.13,3561
47.30,3552
47.47,3568
47.76,3566
48.03,3625
48.15,3576
48.31,3607
48.34,3694
48.49,3556
49.03,3640
49.45,3706
49.51,3674
50.07,3719
50.14,3774
50.49,3727
50.86,3798
51.03,3762
52.03,3910
52.99,3917
53.38,3945
54.03,3929
54.15,3968
55.08,3971
55.18,3949
56.13,4010
56.40,4033
57.07,4030
57.97,4154
62.79,4337
63.88,4495
64.13,4490
64.38,4416
65.99,4514
66.38,4556
67.13,4587
69.13,4670
70.13,4770
71.13,4721
